6/4/16,21:28:38,0,Jimmy,1.47E+12,It's just the conotation,pos,pos,,,
6/4/16,21:28:56,0,Kristy,1.47E+12,but what about the potential renewable tax credit on 2?,GIVING_OPINION+QUESTION+neg,neg,,,
6/4/16,21:28:58,0,Kristy,1.47E+12,it's much bigger,pos,pos,1,,
6/4/16,21:29:03,0,lee,1.47E+12,@Gub: the danger is more perceived than anything else. Nuclear has costed less human lives than coal power has over the decades,TUTOR_REFERENCE+pos,pos,1,,
6/4/16,21:29:21,0,Gub,1.47E+12,I see.,neg,neg,,,
6/4/16,21:29:22,0,Kristy,1.47E+12,"I agree with Lee, but I stand firm on 2.  ",GIVING_OPINION+GIVING_ORIENTATION+AGREE+neg,neg,,,
6/4/16,21:29:33,0,Kristy,1.47E+12,2 due to lower cost and bigger return,SAY_MORE_CANDIDATE+neg,neg,,,
6/4/16,21:29:35,0,Gub,1.47E+12,"And, while we're at it, let's stop saying that windmills kill birds.",POSITIVITY+pos,pos,1,,
6/4/16,21:29:44,0,Gub,1.47E+12,"They do, but it's not significant.",GIVING_OPINION+neg,neg,,,
6/4/16,21:29:53,0,Kristy,1.47E+12,Agreed with Gub on that,GIVING_ORIENTATION+AGREE+neg,neg,,,
6/4/16,21:29:59,0,Jimmy,1.47E+12,I think Hydro is the best option,GIVING_OPINION+neg,neg,,,
6/4/16,21:30:03,0,Jimmy,1.47E+12,Outside of the price,neg,neg,,,
6/4/16,21:30:13,0,Gub,1.47E+12,How do you figure?,QUESTION+neg,neg,,,
6/4/16,21:30:23,0,Jimmy,1.47E+12,No chemical waste,neg,neg,,,
6/4/16,21:30:33,0,Jimmy,1.47E+12,No emissions,neg,neg,,,
6/4/16,21:30:39,0,Jimmy,1.47E+12,They only have birds,neg,neg,,,
6/4/16,21:30:48,0,Jimmy,1.47E+12,Water always will flow,neg,neg,,,
6/4/16,21:30:53,0,Kristy,1.47E+12,We have 7 minutes.,neg,neg,,,
6/4/16,21:30:57,0,Kristy,1.47E+12,Jimmy is right about the water,neg,neg,,,
6/4/16,21:31:00,0,Jimmy,1.47E+12,Renewable,neg,neg,,,
6/4/16,21:31:02,0,Gub,1.47E+12,"OK, let's take a vote then?",AFFIRMATIVE+QUESTION+neg,neg,,,
6/4/16,21:31:05,0,Kristy,1.47E+12,Can't say same for the wind.,POSITIVITY+neg,neg,,,
6/4/16,21:31:07,0,Jimmy,1.47E+12,And could also be used for cleaning,pos,pos,1,,
6/4/16,21:31:07,0,Gub,1.47E+12,Gotta write out the proposal.,neg,neg,,,
6/4/16,21:31:11,0,Jimmy,1.47E+12,Yeah,AFFIRMATIVE+neg,neg,,,
6/4/16,21:31:12,0,Kristy,1.47E+12,I say 3 not 2 now,neg,neg,,,
6/4/16,21:31:16,0,lee,1.47E+12,"I'm not entirely a fan of 2, but I think hydro is just an all around bad choice in this case because of the environmental impact and the cost.",GIVING_OPINION+pos,pos,1,,
6/4/16,21:31:24,0,lee,1.47E+12,I'd go with 2 before hydro,neg,neg,,,
6/4/16,21:31:36,0,Gub,1.47E+12,I agree with lee. Hydro is probably bad for the fishes.,GIVING_ORIENTATION+AGREE+pos,pos,1,,
6/4/16,21:31:40,0,Jimmy,1.47E+12,I'd say 3 but the chemical polution,GIVING_OPINION+neg,neg,,,
6/4/16,21:31:44,0,Jimmy,1.47E+12,They don't care about fish in this city,neg,neg,,,
6/4/16,21:31:51,0,Kristy,1.47E+12,I go back to 2.  Firm on 2,AFFIRMATIVE+neg,neg,,,
6/4/16,21:31:58,0,Kristy,1.47E+12,Not changing my mind.,neg,neg,,,
6/4/16,21:32:02,0,Kristy,1.47E+12,What say you all?,QUESTION+neg,neg,,,
6/4/16,21:32:08,0,Gub,1.47E+12,I vote for 2.,neg,neg,,,
6/4/16,21:32:10,0,lee,1.47E+12,Okay. shall we take a vote? I can compromise on 2,AFFIRMATIVE+QUESTION+neg,neg,,,
6/4/16,21:32:33,0,Jimmy,1.47E+12,I suppose since I was leaning 3 but for all but 1 I'm fine with 2,GIVING_OPINION+EXPLANATION_CONTRIBUTION+neg,neg,,,
6/4/16,21:34:01,0,Jimmy,1.47E+12,We don't need to mention fish,HELP_REQUEST+neg,neg,,,
6/4/16,21:34:03,0,Jimmy,1.47E+12,By the way,neg,neg,,,
6/4/16,21:34:09,0,Gub,1.47E+12,There are fish! You lie.,neg,neg,,,
6/4/16,21:34:36,0,Jimmy,1.47E+12,It only mentions birds,neg,neg,,,
6/4/16,21:34:44,0,Gub,1.47E+12,It mentioned aquatic habitats.,neg,neg,,,
6/4/16,21:34:48,0,BazaarAgent,1.47E+12,"Thank you for participating in the discussion. You now have just 5 minutes to finalize a joint argument in favor of one plan and complete your proposal on the left. Keep in mind that you will be evaluated solely based on the quality of your proposal (i.e., the thoroughness of the reasoning displayed).",Thank you for participating in the discussion. You now have just 5 minutes to finalize a joint argument in favor of one plan and complete your proposal on the left. Keep in mind that you will be evaluated solely based on the quality of your proposal (i.e., the thoroughness of the reasoning displayed).,bazaar,,
6/4/16,21:34:54,0,Gub,1.47E+12,"Oh, wait, you're right.",neg,neg,,,
6/4/16,21:35:02,0,Jimmy,1.47E+12,that's why I said 4 isn't that bad,EXPLANATION_CONTRIBUTION+PREDICTION_CONTRIBUTION+pos,pos,1,,
6/4/16,21:35:05,0,Gub,1.47E+12,This one doesn't say anything about fish.,neg,neg,,,
6/4/16,21:35:22,0,Kristy,1.47E+12,"Well, the coal has the drawback of upsetting the groundwater and rivers with its pollutants",pos,pos,1,,
